"RepoName","Description","Language","SizeKB","License","Stars","OpenIssues","Technologies","Dependencies","Secrets","TodoCount","LastPhase"
"ultimate-raspberry-pi-5-all-in-one-installer","","","520","","0","0","","","","0","activity"
"d1-rest","","TypeScript","100","MIT","0","1","Node.js;TypeScript","hono;typescript;wrangler","","1","activity"
"starkorecovery","","","","","0","0","","","","0","activity"
"starcore","STARCORE Mobile – komplexní terminálový systém pro Termux","Python","132","","0","0","Python;Python (scripts);Shell","rich;sqlite-utils;typer","","0","activity"
"nymeakiosk-ultimate-system","„All-in-one nymea:kiosk system installer","Shell","158","MIT","0","1","Python;Shell","pytest;pytest-cov;pyyaml;requests","","0","activity"
"run-os-from-fyzdisk-on-win","","PowerShell","22","","0","0","PowerShell","","","0","activity"
"starcore-platform-backup","","Python","12","NOASSERTION","0","0","Python","","","0","activity"
"starcore-platform","","Python","18469","","1","2","Python;Shell","packaging;setuptools;wheel","","4","activity"
"starcore-project-intelligence","","","103","","0","0","","","","0","activity"
"starcore-hive","","","56","","0","0","","","","0","activity"
"supernastroj-v5","","","","","0","0","","","","0","activity"
"containers-template","","TypeScript","97","","0","1","Docker;Node.js;TypeScript","@cloudflare/containers;hono;typescript;wrangler","","1","activity"
"genesis-aeterna","","PowerShell","49","","0","0","PowerShell;Python (scripts);Shell","","","0","activity"
"prepare-proxmox-usb","","Shell","57","","0","0","Shell","","prepare-proxmox-usb.sh;proxmox-post-install.sh","0","activity"
"workspace","","","","","0","0","","","","0","activity"
"telemetry","","","","","0","0","","","","0","activity"
"starko-os-kali","","","","","0","0","","","","0","activity"
"vmconsole","","","","","0","0","","","","0","activity"
"hernios","","Shell","4","","0","0","Shell","","","0","activity"
"vscode","","","","","0","0","","","","0","activity"
"sui","Modern super user interface implementation on Android.","","763","GPL-3.0","0","0","","","","0","activity"
"Dokumenty","","","","","0","0","","","","0","activity"
"supernastroj","","Shell","74","MIT","0","0","PowerShell;Shell","","","0","activity"
"backups","","","3115","","0","0","","","","0","activity"
"starcore-auto-builder-v3-0-live-dashboard","","Shell","48","","0","0","Shell","","","0","activity"
"ai-project-analyzer","","Python","15","NOASSERTION","0","0","Python;Shell","aiofiles;aiohttp;anthropic;faiss-cpu;fastapi;google-generativeai;chromadb;langchain;llama-index;openai;psutil;python-dotenv;python-multipart;requests;sentence-transformers;streamlit;tiktoken;transformers;unstructured;uvicorn","","0","activity"
"VS-code","","","1","","0","0","","","","0","activity"
"terminal-mini-os","","","","","0","0","","","","0","activity"
"genesiscraft","","Python","20","","0","0","Python;Python (scripts)","click;dash;dash-bootstrap-components;numpy;plotly;psutil;pypdf;requests","","17","activity"
"ripe-atlas-cousteau","Python client for RIPE ATLAS API","","323","GPL-3.0","0","0","Python (scripts)","","","0","activity"
"vbbuildmanager","A build manager for Visual Basic 6","","328","MIT","0","0","","","","0","activity"
"customubuntuserver","","","","","0","0","","","","0","activity"
"termux-install","","","","","0","0","","","","0","activity"
"skripty","","Shell","8770","","0","0","Shell","","","0","activity"
"OpenMediaVault","","","","","0","0","","","","0","activity"
"ubuntu-gameserver","","Shell","94","","0","0","Shell","","gamehub-installer.sh","0","activity"
"backup-before-rename-20260821-090650","","","","","0","0","","","","0","activity"
"genesis-aetema","","","65","","0","0","","","","0","activity"
"wsl","","","","","0","0","","","","0","activity"
"winpe-recovery-dark-pro-edition","","","","","0","0","","","","0","activity"
"universal-ai-codespace","","Shell","6","","0","0","","","","0","activity"
"acode-dev-master","","Shell","22","","0","0","Python (scripts);Shell","","","0","activity"
"octopuscli","Command line tool for Octopus Deploy","","20189","NOASSERTION","0","1","PowerShell;Shell","","","0","activity"
"starcore-workspace","","Shell","22106","","0","0","HTML","","","0","activity"
"ultraos","","","","","0","0","","","","0","activity"
"projekt-genesis-2026","","Shell","204","","0","0","Python (scripts)","","","0","activity"
"name","","","","","0","0","","","","0","activity"
"containers-pokus","","TypeScript","97","","0","1","Docker;Node.js;TypeScript","@cloudflare/containers;hono;typescript;wrangler","","1","activity"
"starcore-vnext","","","","","0","0","","","","0","activity"
"rpi5-homeassistant-suite","Complete Home Assistant suite for Raspberry Pi 5 with MHS35 display support","Shell","318","","0","0","Shell","","","0","activity"
"recalbox-diag","","","5","","0","0","","","","0","activity"
"uwp","","Shell","162","","0","0","HTML;Shell","","","6","activity"
"twisteros-supermanager","","Shell","1060","","0","2","Shell","","README.md","0","activity"
"GITHUB-AUDIT-REPORT","Kompletní diagnostická zpráva GitHubu účtu Fatalerorr69 - audit všech repozitářů, konfigurací a integrací","","","","0","0","","","","0","activity"
"backup-before-autofix-20260821-185234","","","234","","0","0","","","","0","activity"
"ollama","","PowerShell","27","","0","0","PowerShell;Python","fastapi;chromadb;jinja2;paramiko;pydantic;python-multipart;pyyaml;requests;uvicorn","","0","activity"
"minimal-nas-web-edition","","Python","19","","0","0","Python (scripts);Shell","","","0","activity"
"repo","","","","","0","0","","","","0","activity"
"containers-templatemhv","","TypeScript","112","","0","1","Docker;Node.js;TypeScript","@cloudflare/containers;hono;typescript;wrangler","","1","activity"
"raspberry-pi-5-multifunk-n-syst-my-a-automatizace","","","","","0","0","","","","0","activity"
"starko-ultimate-recovery-usb","","PowerShell","3232","","0","0","PowerShell;Shell","","","0","activity"
"platform","","Shell","184","","0","0","Shell","","nvme-installer","0","activity"
"ubuntu-server1","","Shell","107","","0","0","Python (scripts);Shell","","","0","activity"
"starcore-android","","PowerShell","92","","0","0","","","","0","activity"
"powershell","","PowerShell","11","","0","0","HTML;PowerShell","","","0","activity"
"acode-dev-tools","","Shell","36","","0","0","Shell","","","1","activity"
"rpi5-github-catalog","","Python","6790","","0","0","Python;Python (scripts);Shell","requests","","0","activity"
"starcore-v12-ai-package","STARCORE v12 - Kompletní GitHub Orchestrator • Android Termux • AI Analýza • Multi-Repo Sync","","","","0","0","","","","0","activity"
"android-kit-os","","","1","","0","0","Shell","","","0","activity"
"modules","","PowerShell","19","","0","0","PowerShell","","","0","activity"
